Friedhelm Hosenfeld ;Kay Krüger;Web-based management and analysis of nature conservation measures in Schleswig-Holstein -- current developments;15--24;A1-1
Frank Fuchs-Kittowski ;Maximilian Deharde ;David Starzl ;Marius Poppel ;Simon Burkard;Common and Domain-Specific Design Patterns for Mobile AR Applications to Visualize Measures on Building Facades in an Environmental Context;25--34;A1-2
Sandhya Koravi;Sustainability Context Inheritance: From Trusted Evidence to Product Sustainability Profiles in Circular Economy Decision-Making;35--44;A1-3
Paweł Kobiela ;Jarosław Stańczak ;Paweł Bartoszczuk;AI model of a photovoltaic installation;47--56;A2-1
Larissa Koch de Souza ;Martin Engstler;Environmentally Informed GenAI Use in ITSM: A Problem Analysis of Organisational Use-Case Decision-Making;57--66;A2-2
Nicole Werner ;Heiko Thimm ;Leonie Hammann;Application of Artificial Intelligence in German Municipal Wastewater Facilities;67--76;A2-3
Engelbert Fellinger;Assessing the Maturity of Sustainability-aware Data Management Strategies that minimise Data Volumes and reduce Energy Consumption: A Study Approach;79--88;A3-1
Sarah Flohr ;Paul Bruck ;Jan Kleinmann ;Grit Behrens ;Andreas Kahlfeld;Linking Water Quality to Corrosion Behaviour at Steel Sheet Pile Walls: A Machine Learning Study in the Port of Hamburg;89--98;A3-2
Łukasz Szałata ;Grit Behrens ;Cezary Orłowski ;Rafał Grzeszczyk;Air Quality Knowledge as a Driver of Computing Competences: An International Project-Based Learning Project;101--113;A4-2
Maximilian Jahns ;Dennis Junger ;Volker Wohlgemuth ;Geerd-Dietger Hoffmann;Windows Integration into the Green Metrics Tool: Energy Measurement of Native Windows Applications via RAPL;117--126;A5-1
Nick Kriesing Garcia ;Dennis Junger ;Volker Wohlgemuth;Joint Evaluation of the Green Coding Roadmap Training;127--139;A5-2
Danila Valko ;Jorge Marx Gómez;Toward a Framework for Performance and Carbon Footprint Assessment of Payment Channel Network Solutions;141--150;A5-3
Max Westing ;Stefan Naumann;Towards a Taxonomy of ICT and Software Sustainability Assessment Instruments;151--160;A5-4
